KEY,en,notes,sp,fr,de,it,pt-br,zh,ja
CLASS_UNLOCK_MEDIC,"""Cleric Collar"" is now available!",,¡Ya está disponible el collar de clérigo!,«&nbsp;Collier de Sage&nbsp;» maintenant disponible&nbsp;!,Neues Halsband verfügbar: „Kleriker“!,"È ora disponibile il ""Collare del Chierico""!","Nova coleira disponível: ""clérigo""!","""牧师项圈"" 现在可用！","「クレリックカラー」が利用可能
になりました！"
CLASS_UNLOCK_THIEF,"""Thief Collar"" is now available!",,¡Ya está disponible el collar de ladrón!,«&nbsp;Collier de Fourbe&nbsp;» maintenant disponible&nbsp;!,Neues Halsband verfügbar: „Dieb“!,"È ora disponibile il ""Collare del Ladro""!","Nova coleira disponível: ""ladrão""!","""盗贼项圈"" 现在可用！","「シーフカラー」が利用可能にな
りました！"
CLASS_UNLOCK_NECROMANCER,"""Necromancer Collar"" is now available!",,¡Ya está disponible el collar de nigromante!,«&nbsp;Collier d'Occultiste&nbsp;» maintenant disponible&nbsp;!,Neues Halsband verfügbar: „Totenbeschwörer“!,"È ora disponibile il ""Collare del Necromante""!","Nova coleira disponível: ""necromante""!","""死灵法师项圈"" 现在可用！","「ネクロマンサーの首輪」が利用
可能になりました！"
CLASS_UNLOCK_BUTCHER,"""Butcher Collar"" is now available!",,¡Ya está disponible el collar de carnicero!,«&nbsp;Collier de Barbare&nbsp;» maintenant disponible&nbsp;!,Neues Halsband verfügbar: „Schlachter“!,"È ora disponibile il ""Collare del Macellaio""!","Nova coleira disponível: ""açougueiro""!","""屠夫项圈"" 现在可用！","「ブッチャーカラー」が利用可能
になりました！"
CLASS_UNLOCK_PSYCHIC,"""Psychic Collar"" is now available!",,¡Ya está disponible el collar de ocultista!,«&nbsp;Collier de Médium&nbsp;» maintenant disponible&nbsp;!,Neues Halsband verfügbar: „Medium“!,"È ora disponibile il ""Collare dello Psionico""!","Nova coleira disponível: ""psíquico""!","""通灵项圈"" 现在可用！","「サイキックカラー」が利用可能
になりました！"
CLASS_UNLOCK_TINKERER,"""Tinkerer Collar"" is now available!",,¡Ya está disponible el collar de manitas!,«&nbsp;Collier de Scientifique&nbsp;» maintenant disponible&nbsp;!,Neues Halsband verfügbar: „Bastler“!,"È ora disponibile il ""Collare dell'Inventore""!","Nova coleira disponível: ""artífice""!","""修补匠项圈"" 现在可用！","「ティンカラーの首輪」が利用可
能になりました！"
CLASS_UNLOCK_DRUID,"""Druid Collar"" is now available!",,¡Ya está disponible el collar de druida!,«&nbsp;Collier de Druide&nbsp;» maintenant disponible&nbsp;!,Neues Halsband verfügbar: „Druide“!,"È ora disponibile il ""Collare del Druido""!","Nova coleira disponível: ""druida""!","""德鲁伊项圈"" 现在可用！","「ドルイドの首輪」が利用可能に
なりました！"
CLASS_UNLOCK_MONK,"""Monk Collar"" is now available!",,¡Ya está disponible el collar de monje!,«&nbsp;Collier de Moine&nbsp;» maintenant disponible&nbsp;!,Neues Halsband verfügbar: „Mönch“!,"È ora disponibile il ""Collare del Monaco""!","Nova coleira disponível: ""monge""!","""修道士项圈"" 现在可用！","「モンクカラー」が利用可能にな
りました！"
CLASS_UNLOCK_JESTER,"""Jester Collar"" is now available!",,¡Ya está disponible el collar de bufón!,«&nbsp;Collier de Joker&nbsp;» maintenant disponible&nbsp;!,Neues Halsband verfügbar: „Narr“!,"È ora disponibile il ""Collare del Giullare""!","Nova coleira disponível: ""curinga""!","""小丑项圈"" 现在可用！","「ジェスターの首輪」が利用可能
になりました！"
,,,,,,,,,
AREA_UNLOCK_SEWERS,You can now adventure to The Sewers!,,¡Ya puedes explorar las alcantarillas!,Vous avez débloqué les Égouts&nbsp;!,Du kannst jetzt in die Kanalisation aufbrechen!,Ora puoi avventurarti nelle Fogne!,Agora você pode se aventurar no Esgoto!,你现在可以冒险进入下水道！,"下水道への冒険が可能になりまし
た！"
AREA_UNLOCK_JUNKYARD,You can now adventure to The Junkyard!,,¡Ya puedes explorar el desguace!,Vous avez débloqué la Décharge&nbsp;!,Du kannst jetzt zum Schrottplatz aufbrechen!,Ora puoi avventurarti nella Discarica!,Agora você pode se aventurar no Ferro-Velho!,你现在可以冒险进入垃圾场！,"ジャンクヤードへの冒険が可能に
なりました！"
AREA_UNLOCK_CAVES,You can now adventure to The Caves!,,¡Ya puedes explorar las cuevas!,Vous avez débloqué les Grottes&nbsp;!,Du kannst jetzt in die Höhlen aufbrechen!,Ora puoi avventurarti nelle Caverne!,Agora você pode se aventurar nas Cavernas!,你现在可以冒险进入洞穴！,"洞窟への冒険が可能になりました
！"
AREA_UNLOCK_BONEYARD,You can now adventure to The Boneyard!,,¡Ya puedes explorar el cementerio!,Vous avez débloqué le Cimetière&nbsp;!,Du kannst jetzt zum Friedhof aufbrechen!,Ora puoi avventurarti nel Cimitero!,Agora você pode se aventurar no Cemitério!,你现在可以冒险进入骨场！,"「ボーンヤード」への冒険が可能
になりました！"
AREA_UNLOCK_DESERT,You can now adventure to The Desert!,,¡Ya puedes explorar el desierto!,Vous avez débloqué le Désert&nbsp;!,Du kannst jetzt in die Wüste aufbrechen!,Ora puoi avventurarti nel Deserto!,Agora você pode se aventurar no Deserto!,你现在可以冒险进入沙漠！,"砂漠への冒険が可能になりました
！"
AREA_UNLOCK_CRATER,You can now adventure to The Crater!,,¡Ya puedes explorar el cráter!,Vous avez débloqué le Cratère&nbsp;!,Du kannst jetzt zum Krater aufbrechen!,Ora puoi avventurarti nel Cratere!,Agora você pode se aventurar na Cratera!,你现在可以冒险进入陨石坑！,"クレーターへの冒険が可能になり
ました！"
AREA_UNLOCK_BUNKER,You can now adventure to The Bunker!,,¡Ya puedes explorar el búnker!,Vous avez débloqué le Bunker&nbsp;!,Du kannst jetzt zum Bunker aufbrechen!,Ora puoi avventurarti nel Bunker!,Agora você pode se aventurar no Bunker!,你现在可以冒险进入地堡！,"今、バンカーへの冒険が可能にな
りました！"
AREA_UNLOCK_CORE,You can now adventure to The Core!,,¡Ya puedes explorar el núcleo!,Vous avez débloqué le Noyau&nbsp;!,Du kannst jetzt zum Kern aufbrechen!,Ora puoi avventurarti nel Nucleo!,Agora você pode se aventurar no Núcleo!,你现在可以冒险进入核心！,"コアへの冒険が可能になりました
！"
AREA_UNLOCK_MOON,You can now adventure to The Moon!,,¡Ya puedes explorar la luna!,Vous avez débloqué la Lune&nbsp;!,Du kannst jetzt zum Mond aufbrechen!,Ora puoi avventurarti sulla Luna!,Agora você pode se aventurar na Lua!,你现在可以冒险进入月球！,"今、月への冒険が可能になりまし
た！"
AREA_UNLOCK_LAB,You can now adventure to The Lab!,,¡Ya puedes explorar el laboratorio!,Vous avez débloqué le Labo&nbsp;!,Du kannst jetzt zum Labor aufbrechen!,Ora puoi avventurarti nel Laboratorio!,Agora você pode se aventurar no Laboratório!,你现在可以冒险进入实验室！,"今、ラボへの冒険が可能になりま
した！"
AREA_UNLOCK_ICEAGE,You can now adventure to the past!,,¡Ya puedes explorar el pasado!,Vous pouvez aller dans le passé&nbsp;!,Du kannst jetzt in die Vergangenheit aufbrechen!,Ora puoi avventurarti nel passato!,Agora você pode se aventurar no passado!,你现在可以去往过去冒险！,"過去への冒険が可能になりました
！"
AREA_UNLOCK_JURASSIC,You can now adventure even further into the past!,,¡Ya puedes explorar un pasado más remoto!,Vous pouvez aller plus loin dans le passé&nbsp;!,Du kannst jetzt noch weiter in die Vergangenheit aufbrechen!,Ora puoi avventurarti ancora più indietro nel passato!,Agora você pode se aventurar ainda mais longe no passado!,你现在可以进一步冒险进入过去！,"さらに過去への冒険が可能になり
ました！"
AREA_UNLOCK_FUTURE,You can now adventure to the future!,,¡Ya puedes explorar el futuro!,Vous pouvez aller dans le futur&nbsp;!,Du kannst jetzt in die Zukunft aufbrechen!,Ora puoi avventurarti nel futuro!,Agora você pode se aventurar no futuro!,你现在可以冒险进入未来！,"未来への冒険が可能になりました
！"
AREA_UNLOCK_THEEND,You can now adventure even further into the future!,,¡Ya puedes explorar un futuro más remoto!,Vous pouvez aller plus loin dans le futur&nbsp;!,Du kannst jetzt noch weiter in die Zukunft aufbrechen!,Ora puoi avventurarti ancora più avanti nel futuro!,Agora você pode se aventurar ainda mais longe no futuro!,你现在可以进一步冒险进入未来！,"さらに未来へ冒険を進めることが
できます！"
AREA_UNLOCK_THERIFT,You can now adventure to The Rift!,,¡Ya puedes explorar la Grieta!,Vous avez débloqué la Faille&nbsp;!,Du kannst jetzt in den Riss aufbrechen!,Ora puoi avventurarti nella Fenditura!,Agora você pode se aventurar na Fissura!,你现在可以冒险进入裂隙！,"リフトへの冒険が可能になりまし
た！"
AREA_UNLOCK_MEATWORLD,You can now adventure to The Throbbing Domain!,,¡Ya puedes explorar el Dominio Palpitante!,Vous avez débloqué le Domaine lancinant&nbsp;!,Du kannst jetzt in das Pulsierende Reich aufbrechen!,Ora puoi avventurarti nel Regno Pulsante!,Agora você pode se aventurar no Domínio Pulsante!,你现在可以冒险进入脉动领域！,"今、冒険の舞台は「脈動する領域
」へ！"
AREA_UNLOCK_MEATWORLDFULL,The Throbbing King requests your audience. You now have full access to his domain!,,El Rey Palpitante solicita tu presencia. ¡Ahora tienes acceso total a su dominio!,Le Roi lancinant a accédé à votre requête. Vous avez désormais accès à tout son domaine&nbsp;!,Der Pulsierende König bittet dich um eine Audienz. Du hast jetzt uneingeschränkten Zugang zu seinem Reich!,Il Re Pulsante richiede la tua presenza. Ora hai completo accesso al suo regno!,O Rei Pulsante solicita sua presença. Agora você possui acesso total ao seu domínio!,脉动之王请求与您会面。你现在可以完全进入他的领域！,"鼓動する王があなたの謁見を求め
ています。彼の領域への完全なア
クセスが可能になりました！"
,,,,,,,,,
AREA_UNLOCK_ENDOFTIME,The time machine can now travel to The Infinite!,,¡La máquina del tiempo ya puede viajar al infinito!,La machine temporelle peut vous mener dans l'Infini&nbsp;!,Die Zeitmaschine kann jetzt in die Unendlichkeit reisen!,La macchina del tempo ora può viaggiare nell'Infinito!,A máquina do tempo agora pode viajar para o Infinito!,时间机器现在可以前往无限之地！,"タイムマシンがついに無限の地へ
と旅立てるようになりました！"
,,,,,,,,,
QUEST_BEGIN_THROBBINGGRISTLE,"""Throbbing Gristle"" found and added to Quest Items!",,¡Has encontrado el cartílago palpitante y se ha añadido a los objetos de misión!,«&nbsp;Cartilage lancinant&nbsp;» trouvé et ajouté aux objets de quête&nbsp;!,„Pulsierender Knorpel“ gefunden und den Questgegenständen hinzugefügt!,"Hai trovato la ""Cartilagine Pulsante"" e l'hai aggiunta agli oggetti della missione!","A ""cartilagem pulsante"" foi encontrada e adicionada aos seus itens de missão!",“脉动皮革”已找到并添加到任务物品！,"「Throbbing 
Gristle」が見つかり、ク
エストアイテムに追加されました
！"
QUEST_BEGIN_PUTRIDLEECH,"""Putrid Leech"" found and added to Quest Items!",,¡Has encontrado la sanguijuela putrefacta y se ha añadido a los objetos de misión!,«&nbsp;Sangsue putride&nbsp;» trouvée et ajoutée aux objets de quête&nbsp;!,„Verfaulter Blutegel“ gefunden und den Questgegenständen hinzugefügt!,"Hai trovato la ""Sanguisuga Putrida"" e l'hai aggiunta agli oggetti della missione!","A ""sanguessuga pútrida"" foi encontrada e adicionada aos seus itens de missão!",“腐臭水蛭”已找到并添加到任务物品！,"クエストアイテムに「腐敗したヒ
ル」を発見し、追加しました！"
QUEST_BEGIN_GUILLOTINASHEAD,"""Guillotina's Head"" found and added to Quest Items!",,¡Has encontrado la cabeza de Guillotina y se ha añadido a los objetos de misión!,«&nbsp;Tête de Guillotina&nbsp;» trouvée et ajoutée aux objets de quête&nbsp;!,„Guillotinas Kopf“ gefunden und den Questgegenständen hinzugefügt!,"Hai trovato la ""Testa di Ghigliottina"" e l'hai aggiunta agli oggetti della missione!","A ""cabeça de Guilhotina"" foi encontrada e adicionada aos seus itens de missão!",“断头台的头”已找到并添加到任务物品！,"クエストアイテムに「ギロティナ
の頭」が見つかり追加されました
！"
,,,,,,,,,
QUEST_BEGIN_SCALDINGORB,"""Scalding Orb"" found and added to Quest Items!",,¡Has encontrado el orbe abrasador y se ha añadido a los objetos de misión!,«&nbsp;Orbe brûlant&nbsp;» trouvé et ajouté aux objets de quête&nbsp;!,„Siedende Kugel“ gefunden und den Questgegenständen hinzugefügt!,"Hai trovato la ""Sfera Rovente"" e l'hai aggiunta agli oggetti della missione!","O ""orbe escaldante"" foi encontrado e adicionado aos seus itens de missão!",“灼热宝珠”已找到并添加到任务物品！,"「焼けつくオーブ」を発見し、ク
エストアイテムに追加しました！"
QUEST_BEGIN_BLACKSHARD,"""Black Shard"" found and added to Quest Items!",,¡Has encontrado el fragmento negro y se ha añadido a los objetos de misión!,«&nbsp;Sombréclat&nbsp;» trouvé et ajouté aux objets de quête&nbsp;!,„Schwarzer Splitter“ gefunden und den Questgegenständen hinzugefügt!,"Hai trovato il ""Frammento Nero"" e l'hai aggiunta agli oggetti della missione!","O ""fragmento negro"" foi encontrado e adicionado aos seus itens de missão!",“黑色碎片”已找到并添加到任务物品！,"「ブラックシャード」を発見し、
クエストアイテムに追加しました
！"
